person_id,aircraft_type,flight_no,pickup_stop_order,delivery_stop_order
P0002,T3,36,0,1
P0004,T3,19,0,1
P0007,T3,41,0,2
P0008,T3,33,0,1
P0015,T2,1,0,1
P0016,T3,33,0,1
P0020,T3,4,0,1
P0027,T3,4,0,1
P0028,T3,17,0,1
P0029,T3,45,0,1
P0030,T2,1,0,1
P0033,T2,1,0,1
P0035,T2,1,0,1
P0036,T3,1,0,1
P0037,T3,33,0,1
P0040,T3,51,0,2
P0042,T3,11,0,1
P0044,T3,11,0,1
P0045,T3,27,0,1
P0049,T3,19,0,1
P0055,T3,36,0,1
P0056,T3,33,0,1
P0057,T3,13,0,1
P0058,T3,36,0,1
P0059,T3,27,0,1
P0061,T3,20,0,1
P0065,T3,41,0,2
P0066,T3,41,0,2
P0068,T2,7,0,1
P0070,T3,50,0,1
P0072,T3,63,0,2
P0074,T2,17,0,1
P0077,T3,17,0,1
P0081,T3,1,0,1
P0083,T3,41,0,2
P0086,T3,15,0,1
P0089,T3,11,0,1
P0091,T3,50,0,1
P0093,T3,19,0,1
P0094,T3,45,0,1
P0095,T3,60,0,2
P0097,T3,64,0,1
P0099,T2,9,0,2
P0102,T3,62,0,2
P0111,T2,7,0,1
P0113,T3,11,0,1
P0115,T3,43,0,2
P0116,T3,41,0,2
P0124,T3,33,0,1
P0126,T3,36,0,1
P0132,T3,60,0,2
P0134,T3,27,0,1
P0137,T3,24,0,1
P0138,T2,5,0,1
P0140,T2,16,0,1
P0146,T3,8,0,1
P0147,T2,5,0,1
P0148,T3,33,0,1
P0151,T3,11,0,1
P0158,T3,11,0,1
P0159,T3,47,0,1
P0166,T3,70,0,1
P0169,T3,48,0,1
P0172,T3,51,0,2
P0174,T3,18,0,1
P0177,T3,10,0,1
P0184,T3,62,0,2
P0186,T3,11,0,1
P0188,T3,49,0,1
P0191,T3,69,0,1
P0192,T3,46,0,1
P0193,T3,45,0,1
P0199,T3,57,0,1
P0203,T3,33,0,1
P0206,T3,63,0,2
P0209,T3,33,0,1
P0213,T3,39,0,1
P0214,T3,36,0,1
P0215,T3,53,0,1
P0216,T3,50,0,1
P0221,T3,49,0,1
P0222,T3,46,0,1
P0226,T3,47,0,1
P0227,T3,59,0,2
P0228,T3,19,0,1
P0229,T3,12,0,2
P0230,T3,45,0,1
P0238,T3,58,0,1
P0239,T3,19,0,1
P0240,T3,11,0,1
P0241,T2,4,0,2
P0244,T3,11,0,1
P0245,T3,69,0,1
P0247,T3,19,0,1
P0249,T3,30,0,1
P0252,T3,15,0,1
P0253,T2,5,0,1
P0254,T3,33,0,1
P0255,T2,13,0,2
P0257,T2,1,0,1
P0259,T2,17,0,1
P0260,T3,57,0,1
P0266,T3,19,0,1
P0267,T3,11,0,1
P0268,T3,36,0,1
P0269,T3,22,0,1
P0272,T2,4,0,2
P0275,T3,23,0,1
P0284,T3,18,0,1
P0288,T3,46,0,1
